model,model_label,tensor_name,checkpoint_file,layer_index,component,subcomponent,numel,mean,std,rms,abs_mean
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.3.mlp.down_proj.weight,,3.0,mlp,down_proj,4358144,6.339522542475606e-07,0.0173721052706241,0.0173721015453338,0.0135552380234003
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.3.input_layernorm.weight,,3.0,norm,input_layernorm,896,0.9801815748214722,0.4276003539562225,1.0692960023880005,0.9839232563972472
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.3.post_attention_layernorm.weight,,3.0,norm,post_attention_layernorm,896,1.2570126056671145,0.4663693010807037,1.3406484127044678,1.2570126056671145
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.4.self_attn.q_proj.weight,,4.0,attention,q_proj,802816,-3.405667303013615e-05,0.0230612587183713,0.0230612680315971,0.0171110555529594
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.4.self_attn.q_proj.bias,,4.0,attention,q_proj,896,0.1578195691108703,1.969931364059448,1.975147128105164,0.9135084748268129
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.4.self_attn.k_proj.weight,,4.0,attention,k_proj,114688,-6.184577068779618e-05,0.0270064938813447,0.027006447315216,0.0202780161052942
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.4.self_attn.k_proj.bias,,4.0,attention,k_proj,128,0.0261971205472946,2.3507180213928223,2.3416640758514404,1.120915174484253
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.4.self_attn.v_proj.weight,,4.0,attention,v_proj,114688,-6.954782293178141e-05,0.0180192254483699,0.0180192813277244,0.0138978380709886
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.4.self_attn.v_proj.bias,,4.0,attention,v_proj,128,0.0296220928430557,0.4411540329456329,0.4404246509075165,0.2052762061357498
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.4.self_attn.o_proj.weight,,4.0,attention,o_proj,802816,-2.4838916942826472e-05,0.0177455432713031,0.0177455488592386,0.0130875231698155
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.4.mlp.gate_proj.weight,,4.0,mlp,gate_proj,4358144,-3.2989715691655874e-05,0.0225470010191202,0.0225470196455717,0.0174177922308444
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.4.mlp.up_proj.weight,,4.0,mlp,up_proj,4358144,1.1870187336171512e-05,0.0179299935698509,0.0179299972951412,0.0140261938795447
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.4.mlp.down_proj.weight,,4.0,mlp,down_proj,4358144,-7.976455549396633e-07,0.0176155157387256,0.0176155138760805,0.0136045599356293
