model,model_label,layer_index,component,mean_std,std_std,median_std,mean_rms,std_rms,median_rms,mean_fro_norm,std_fro_norm,median_fro_norm,mean_abs_mean,std_abs_mean,median_abs_mean,tensor_count
Qwen/Qwen2.5-0.5B-Instruct,0.5B,17,norm,0.3899276852607727,0.011086791753768921,0.3899276852607727,1.650694727897644,0.06520628929138195,1.650694727897644,49.410672975576176,1.9518367519297435,49.410672975576176,1.6040260195732117,0.064411461353302,1.6040260195732117,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,18,all,0.360345378673325,0.6399622418061192,0.02368233539164065,0.5682707795252403,0.8036301474731188,0.02368234191089865,29.680957834411867,20.683608761069504,28.919052624318415,0.40402194228954613,0.5992769236544977,0.01800646446645255,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,18,attention,0.493172471012388,0.7962691757518708,0.0244709365069866,0.492718137002417,0.7960658514856643,0.024470929056406,19.07386986608837,21.17506161183414,9.80285322450055,0.22743893813874042,0.3267269993592694,0.0188307613134384,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,18,mlp,0.019726495568950935,0.0010545467463609665,0.019359378144145,0.019726496810714367,0.001054545488463717,0.019359378144145,41.18136660244994,2.201486902418295,40.41496349805362,0.015410371435185267,0.0007816144859669238,0.0152647728100419,3
Qwen/Qwen2.5-0.5B-Instruct,0.5B,18,norm,0.4063788801431656,0.015833839774131747,0.4063788801431656,1.6555214524269104,0.058820903301239014,1.6555214524269104,49.555152571486985,1.7607013386703727,49.555152571486985,1.6049798130989075,0.05661731958389282,1.6049798130989075,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,19,all,0.3769789384678006,0.6505191779928857,0.022296904586255502,0.5788928416247169,0.8155386473096746,0.02229681611061095,29.905139873131645,21.000804711947282,29.691437608462508,0.41869430779479444,0.6093305868461321,0.0171931507065892,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,19,attention,0.5037400682589838,0.8052357773773711,0.0226648263633251,0.5041132779525859,0.8051849133226056,0.0226647388190031,18.960448612410183,21.19636944239168,11.044954567595406,0.25300434298281155,0.35701295654069604,0.0176493879407644,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,19,mlp,0.020059613510966266,0.00081223453473519,0.0199015736579895,0.020059614752729698,0.0008122376683031774,0.0199015736579895,41.87678922227041,1.695641020687696,41.54685997415304,0.015472183624903301,0.0005778798084585076,0.0155198918655514,3
Qwen/Qwen2.5-0.5B-Instruct,0.5B,19,norm,0.46869397163391113,0.1178805232048035,0.46869397163391113,1.6788711547851562,0.1533721685409546,1.6788711547851562,50.25408526194862,4.590928858774404,50.25408526194862,1.603442370891571,0.19494110345840454,1.603442370891571,2
Qwen/Qwen2.5-0.5B-Instruct,0.5B,20,all,0.36433478600035113,0.48137793260806006,0.02305869106203315,0.5865821174035469,0.7281038869521346,0.023058691993355702,29.501103478320175,18.107473873146592,30.02069813431234,0.4299671829212457,0.640929861452459,0.0164815923199057,12
Qwen/Qwen2.5-0.5B-Instruct,0.5B,20,attention,0.4749122839421034,0.5649412985050838,0.0245400946587324,0.4762461145541498,0.5663339588441036,0.024540102109313,16.88736514928768,12.319275730863248,11.911435778915836,0.2331994395436985,0.3089529425948811,0.0170318931341171,7
Qwen/Qwen2.5-0.5B-Instruct,0.5B,20,mlp,0.020231664801637298,0.0005417538320530868,0.020401244983077,0.020231666043400702,0.0005417566039499585,0.020401244983077,42.235966391107546,1.130980200419759,42.58998223841559,0.0156147486219803,0.00042567470508311257,0.0158999282866716,3
