model,model_label,component,layer_index,tensor_count,total_numel,weighted_mean_std,mean_std,median_std,weighted_mean_rms,mean_rms,weighted_mean_abs
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,9.0,3,41287680,0.0280145288755496,0.0280145288755496,0.028042159974575,0.0280145462602376,0.0280145462602376,0.0219785359998544
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,10.0,3,41287680,0.0279641666760047,0.0279641666760047,0.0280232299119234,0.0279641691595315,0.0279641691595315,0.0218379497528076
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,11.0,3,41287680,0.027961753308773,0.027961753308773,0.0277389101684093,0.0279617638637622,0.0279617638637622,0.0217396933585405
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,12.0,3,41287680,0.0276619605720043,0.0276619605720043,0.0276396498084068,0.0276619593302408,0.0276619593302408,0.0214989415059487
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,13.0,3,41287680,0.0274109796931346,0.0274109796931346,0.027531374245882,0.027410980934898,0.027410980934898,0.0213503142197926
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,14.0,3,41287680,0.0268471923967202,0.0268471923967202,0.0269564446061849,0.0268471948802471,0.0268471948802471,0.0208231092741092
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,15.0,3,41287680,0.02726293168962,0.02726293168962,0.0274533089250326,0.0272629571457703,0.0272629571457703,0.0211534841607014
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,16.0,3,41287680,0.0269018206745386,0.0269018206745386,0.0272967647761106,0.0269018250207106,0.0269018250207106,0.0208681834240754
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,17.0,3,41287680,0.0273728699733813,0.0273728699733813,0.0275891236960887,0.0273728687316179,0.0273728687316179,0.0212500529984633
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,18.0,3,41287680,0.027463902408878,0.027463902408878,0.027619807049632,0.0274639036506414,0.0274639036506414,0.0212717615067958
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,19.0,3,41287680,0.0279623450090487,0.0279623450090487,0.0275191441178321,0.0279623468716939,0.0279623468716939,0.021559997772177
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,20.0,3,41287680,0.0282771072040001,0.0282771072040001,0.0279495548456907,0.0282771165172259,0.0282771165172259,0.0220798999071121
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,21.0,3,41287680,0.0284960567951202,0.0284960567951202,0.0281449817121028,0.0284960605204105,0.0284960605204105,0.022145561253031
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,22.0,3,41287680,0.0287025490154822,0.0287025490154822,0.0287280175834894,0.028702553982536,0.028702553982536,0.0223146049926678
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,23.0,3,41287680,0.0290831408152977,0.0290831408152977,0.0287375096231699,0.0290831457823514,0.0290831457823514,0.0227689227710167
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,24.0,3,41287680,0.0292669447759787,0.0292669447759787,0.0292495507746934,0.0292669565727313,0.0292669565727313,0.0230197596053282
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,25.0,3,41287680,0.0294051393866539,0.0294051393866539,0.0297919902950525,0.0294051511834065,0.0294051511834065,0.0231391973793506
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,26.0,3,41287680,0.0292383326838413,0.0292383326838413,0.0294685140252113,0.0292383345464865,0.0292383345464865,0.0229631743083397
Qwen/Qwen2.5-1.5B-Instruct,1.5B,mlp,27.0,3,41287680,0.0271632857620716,0.0271632857620716,0.0277248583734035,0.0271633683393398,0.0271633683393398,0.0212039463222026
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,,1,1536,0.5206122994422913,0.5206122994422913,0.5206122994422913,3.4988760948181152,3.4988760948181152,3.4599528312683105
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,0.0,2,3072,0.1847739033401012,0.1847739033401012,0.2565894722938537,0.4741904735565185,0.4741904735565185,0.4289032369852066
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,1.0,2,3072,0.2864170223474502,0.2864170223474502,0.3056068420410156,0.8896078169345856,0.8896078169345856,0.8578680455684662
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,2.0,2,3072,0.2242296412587165,0.2242296412587165,0.224501371383667,0.9072216153144836,0.9072216153144836,0.8825712203979492
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,3.0,2,3072,0.1918323710560798,0.1918323710560798,0.1932233124971389,0.7861096560955048,0.7861096560955048,0.7629016935825348
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,4.0,2,3072,0.1750872656702995,0.1750872656702995,0.1922430843114853,0.7676133811473846,0.7676133811473846,0.7482728958129883
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,5.0,2,3072,0.254092238843441,0.254092238843441,0.2899661958217621,0.9598974287509918,0.9598974287509918,0.9249434173107148
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,6.0,2,3072,0.1921976804733276,0.1921976804733276,0.209694504737854,0.7259231507778168,0.7259231507778168,0.6992906928062439
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,7.0,2,3072,0.2188801318407058,0.2188801318407058,0.2486042529344558,0.7271731793880463,0.7271731793880463,0.6917683482170105
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,8.0,2,3072,0.2322312742471695,0.2322312742471695,0.2381341159343719,0.8302092850208282,0.8302092850208282,0.7971585392951965
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,9.0,2,3072,0.2631933838129043,0.2631933838129043,0.2750663161277771,0.848190188407898,0.848190188407898,0.806363046169281
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,10.0,2,3072,0.3172686398029327,0.3172686398029327,0.3612735569477081,0.9183988273143768,0.9183988273143768,0.8617614507675171
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,11.0,2,3072,0.3349865972995758,0.3349865972995758,0.3705708086490631,0.925007551908493,0.925007551908493,0.8622150123119354
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,12.0,2,3072,0.3546076714992523,0.3546076714992523,0.3976976573467254,0.9959093034267426,0.9959093034267426,0.9307492971420288
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,13.0,2,3072,0.3651145249605179,0.3651145249605179,0.4081104397773742,0.9416781663894652,0.9416781663894652,0.8679252862930298
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,14.0,2,3072,0.5105991512537003,0.5105991512537003,0.6415725946426392,1.1789078414440155,1.1789078414440155,1.0624843537807465
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,15.0,2,3072,0.5025940239429474,0.5025940239429474,0.6285473108291626,1.112335026264191,1.112335026264191,0.990758776664734
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,16.0,2,3072,0.4912031590938568,0.4912031590938568,0.6355716586112976,1.217506468296051,1.217506468296051,1.1133508086204529
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,17.0,2,3072,0.4391021430492401,0.4391021430492401,0.5736428499221802,1.16888165473938,1.16888165473938,1.082600474357605
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,18.0,2,3072,0.3762034773826599,0.3762034773826599,0.4818247258663177,1.0370134115219116,1.0370134115219116,0.9647941291332244
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,19.0,2,3072,0.3628623262047767,0.3628623262047767,0.4911192059516907,1.100922018289566,1.100922018289566,1.0374058485031128
