model,model_label,family,layer_index,component,param_kind,tensor_count,total_numel,mean_std,std_std,median_std,min_std,max_std,mean_rms,std_rms,median_rms,min_rms,max_rms,mean_fro_norm,std_fro_norm,median_fro_norm,min_fro_norm,max_fro_norm,mean_abs_mean,std_abs_mean,median_abs_mean,min_abs_mean,max_abs_mean
Qwen/Qwen2.5-7B-Instruct,7B,input_layernorm.weight,19,norm,weight,1,3584,0.4494579434394836,0.0,0.4494579434394836,0.4494579434394836,0.4494579434394836,1.0869840383529663,0.0,1.0869840383529663,1.0869840383529663,1.0869840383529663,65.07394970253993,0.0,65.07394970253993,65.07394970253993,65.07394970253993,0.9897500872612,0.0,0.9897500872612,0.9897500872612,0.9897500872612
Qwen/Qwen2.5-7B-Instruct,7B,input_layernorm.weight,20,norm,weight,1,3584,0.389789342880249,0.0,0.389789342880249,0.389789342880249,0.389789342880249,1.0587233304977417,0.0,1.0587233304977417,1.0587233304977417,1.0587233304977417,63.38207952170855,0.0,63.38207952170855,63.38207952170855,63.38207952170855,0.9843794107437134,0.0,0.9843794107437134,0.9843794107437134,0.9843794107437134
Qwen/Qwen2.5-7B-Instruct,7B,input_layernorm.weight,21,norm,weight,1,3584,0.2662537097930908,0.0,0.2662537097930908,0.2662537097930908,0.2662537097930908,1.0012651681900024,0.0,1.0012651681900024,1.0012651681900024,1.0012651681900024,59.94225940284121,0.0,59.94225940284121,59.94225940284121,59.94225940284121,0.9652344584465028,0.0,0.9652344584465028,0.9652344584465028,0.9652344584465028
Qwen/Qwen2.5-7B-Instruct,7B,input_layernorm.weight,22,norm,weight,1,3584,0.2845540940761566,0.0,0.2845540940761566,0.2845540940761566,0.2845540940761566,1.0467748641967771,0.0,1.0467748641967771,1.0467748641967771,1.0467748641967771,62.66676644657856,0.0,62.66676644657856,62.66676644657856,62.66676644657856,1.0077619552612305,0.0,1.0077619552612305,1.0077619552612305,1.0077619552612305
Qwen/Qwen2.5-7B-Instruct,7B,input_layernorm.weight,23,norm,weight,1,3584,0.3195503354072571,0.0,0.3195503354072571,0.3195503354072571,0.3195503354072571,0.9804773330688475,0.0,0.9804773330688475,0.9804773330688475,0.9804773330688475,58.697764093463476,0.0,58.697764093463476,58.697764093463476,58.697764093463476,0.926962912082672,0.0,0.926962912082672,0.926962912082672,0.926962912082672
Qwen/Qwen2.5-7B-Instruct,7B,input_layernorm.weight,24,norm,weight,1,3584,0.2607855796813965,0.0,0.2607855796813965,0.2607855796813965,0.2607855796813965,1.021752953529358,0.0,1.021752953529358,1.021752953529358,1.021752953529358,61.16879177649942,0.0,61.16879177649942,61.16879177649942,61.16879177649942,0.9879215955734252,0.0,0.9879215955734252,0.9879215955734252,0.9879215955734252
Qwen/Qwen2.5-7B-Instruct,7B,input_layernorm.weight,25,norm,weight,1,3584,0.4358553886413574,0.0,0.4358553886413574,0.4358553886413574,0.4358553886413574,1.0533134937286377,0.0,1.0533134937286377,1.0533134937286377,1.0533134937286377,63.0582114303748,0.0,63.0582114303748,63.0582114303748,63.0582114303748,0.9589329361915588,0.0,0.9589329361915588,0.9589329361915588,0.9589329361915588
Qwen/Qwen2.5-7B-Instruct,7B,input_layernorm.weight,26,norm,weight,1,3584,0.8332606554031372,0.0,0.8332606554031372,0.8332606554031372,0.8332606554031372,1.243608832359314,0.0,1.243608832359314,1.243608832359314,1.243608832359314,74.4505307816727,0.0,74.4505307816727,74.4505307816727,74.4505307816727,0.9232735633850098,0.0,0.9232735633850098,0.9232735633850098,0.9232735633850098
Qwen/Qwen2.5-7B-Instruct,7B,input_layernorm.weight,27,norm,weight,1,3584,1.2081366777420044,0.0,1.2081366777420044,1.2081366777420044,1.2081366777420044,1.5040770769119265,0.0,1.5040770769119265,1.5040770769119265,1.5040770769119265,90.04385768167788,0.0,90.04385768167788,90.04385768167788,90.04385768167788,0.8961434364318848,0.0,0.8961434364318848,0.8961434364318848,0.8961434364318848
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,0,attention,bias,1,512,26.71364402770996,0.0,26.71364402770996,26.71364402770996,26.71364402770996,26.722301483154297,0.0,26.722301483154297,26.722301483154297,26.722301483154297,604.6566588047917,0.0,604.6566588047917,604.6566588047917,604.6566588047917,8.471227645874023,0.0,8.471227645874023,8.471227645874023,8.471227645874023
