model,model_label,family,component,param_kind,tensor_count,total_numel,mean_std,std_std,median_std,min_std,max_std,mean_rms,std_rms,median_rms,min_rms,max_rms,mean_fro_norm,std_fro_norm,median_fro_norm,min_fro_norm,max_fro_norm,mean_abs_mean,std_abs_mean,median_abs_mean,min_abs_mean,max_abs_mean
Qwen/Qwen2.5-0.5B-Instruct,0.5B,q_proj.weight,attention,weight,24,19267584,0.024433526598537907,0.009017334058443691,0.0219889217987656,0.0206358917057514,0.0667406097054481,0.02443353435955936,0.009017327646985939,0.021988913416862398,0.0206358935683965,0.0667405724525451,21.89244678616519,8.079525571699401,19.70206642150871,18.48976063728326,59.799552917480405,0.017320170455301754,0.005370485306233442,0.0159537456929683,0.0140160294249653,0.0419846549630165
Qwen/Qwen2.5-0.5B-Instruct,0.5B,up_proj.weight,mlp,weight,24,104595456,0.01893337645257508,0.0010822215174125741,0.01882484462112185,0.0170484874397516,0.0208471715450286,0.018933377616728298,0.0010822224119090423,0.01882484368979925,0.0170484855771064,0.0208471696823835,39.52563763037824,2.2592657134138103,39.29906037864639,35.59070529877698,43.52090214251402,0.014774185217296046,0.0008247852734663699,0.014640086796134651,0.0134760309010744,0.0164085254073143
Qwen/Qwen2.5-0.5B-Instruct,0.5B,v_proj.bias,attention,bias,24,3072,0.3245280588356157,0.3329934260964516,0.1786170750856399,0.0148728750646114,1.4854793548583984,0.32447760590973,0.33220326466361294,0.17885410785675043,0.0149461645632982,1.4800444841384888,3.67104504771114,3.758450898815202,2.023503240137255,0.1690965490470117,16.744791859073135,0.16519338482369977,0.21460712527796535,0.10342142730951305,0.0091693624854087,1.0967758893966677
Qwen/Qwen2.5-0.5B-Instruct,0.5B,v_proj.weight,attention,weight,24,2752512,0.019307223614305206,0.004646678779564117,0.01848498359322545,0.0111672729253768,0.0298681054264307,0.019307231375326677,0.004646655484585488,0.018485370092093903,0.0111672319471836,0.0298679918050766,6.538512988710138,1.5736185395721631,6.260184596053966,3.7818519763485945,10.114979645074927,0.01446679564348107,0.0033968572513923857,0.0143037871457636,0.0082822749391198,0.0217752046883106
Qwen/Qwen2.5-1.5B-Instruct,1.5B,down_proj.weight,mlp,weight,28,385351680,0.027167368414146523,0.0011401706698746638,0.026888903230428647,0.0253149420022964,0.0297919902950525,0.027167369278946057,0.001140171040281996,0.0268889041617512,0.0253149475902318,0.0297919902950525,100.78530135655937,4.229797913554212,99.75225356803014,93.9132013670629,110.52210057841286,0.02118966249482967,0.0009394148228051522,0.021063805557787398,0.0195214729756116,0.0233016610145568
Qwen/Qwen2.5-1.5B-Instruct,1.5B,embed_tokens.weight,embedding,weight,1,233373696,0.0260897781699895,0.0,0.0260897781699895,0.0260897781699895,0.0260897781699895,0.0260898098349571,0.0,0.0260898098349571,0.0260898098349571,0.0260898098349571,398.56289592153485,0.0,398.56289592153485,398.56289592153485,398.56289592153485,0.0205182470381259,0.0,0.0205182470381259,0.0205182470381259,0.0205182470381259
Qwen/Qwen2.5-1.5B-Instruct,1.5B,gate_proj.weight,mlp,weight,28,385351680,0.029316943671022087,0.0020507299105940774,0.02865587733685965,0.0269564446061849,0.0346001870930194,0.02931701312107694,0.0020507958727254087,0.02865591365844005,0.0269564483314752,0.0346004292368888,108.76003384588925,7.608027039025731,106.307492052667,100.00282841871278,128.36041104681564,0.02285070790510086,0.001753465141360088,0.02235698327422135,0.0208906810730695,0.0271918419748544
Qwen/Qwen2.5-1.5B-Instruct,1.5B,input_layernorm.weight,norm,weight,28,43008,0.41607298808438437,0.23183176448890952,0.34832435846328735,0.1904414296150207,1.1095763444900513,1.0238736953054155,0.3147817518124605,1.0545912384986877,0.4038860201835632,1.5680434703826904,40.12748983289799,12.33687475647907,41.3313667445047,15.829034619090521,61.45450235104861,0.9253078869410923,0.2597234940880869,0.9958765506744385,0.3747672438621521,1.3390207290649414
Qwen/Qwen2.5-1.5B-Instruct,1.5B,k_proj.bias,attention,bias,28,7168,3.7917415286813463,12.669328839104923,0.7212400138378143,0.543536901473999,68.87092590332031,3.794213537658964,12.678526412373012,0.7218082547187805,0.5425703525543213,68.92070007324219,60.707416602543425,202.8564225979682,11.548932075500488,8.68112564086914,1102.731201171875,1.4384657549006599,4.547156686792559,0.4172692596912384,0.284246563911438,24.917383193969727
Qwen/Qwen2.5-1.5B-Instruct,1.5B,k_proj.weight,attention,weight,28,11010048,0.029612529889813454,0.007528998182352555,0.02919783350080245,0.0187468715012073,0.0558246299624443,0.029612546653619783,0.0075289763773095444,0.02919782232493155,0.0187468584626913,0.0558245629072189,18.569121097146873,4.721190504928405,18.30906017191053,11.755580803525211,35.00587372456626,0.02205172184455603,0.005971113784092766,0.02184038981795305,0.0132062500342726,0.0427512601017952
