model,model_label,component,layer_index,tensor_count,total_numel,weighted_mean_std,mean_std,median_std,weighted_mean_rms,mean_rms,weighted_mean_abs
Qwen/Qwen2.5-32B-Instruct,32B,all,39,12,487605248,0.02275574653986034,0.24988277396187186,0.02619912661612034,0.0227639656880648,0.31506887543946505,0.017932060812665976
Qwen/Qwen2.5-32B-Instruct,32B,all,40,12,487605248,0.022789080939787064,0.2228440181352198,0.024727189913392067,0.02279730412635588,0.28807232544446987,0.017964272473249016
Qwen/Qwen2.5-32B-Instruct,32B,all,41,12,487605248,0.02275474649339861,0.23722744857271513,0.024323079735040665,0.022763420656267824,0.3060906082391739,0.01793778350792827
Qwen/Qwen2.5-32B-Instruct,32B,all,42,12,487605248,0.022758292837681448,0.22391045652329922,0.02535131573677063,0.022766493020699826,0.28895122930407524,0.01793327129664415
Qwen/Qwen2.5-32B-Instruct,32B,all,43,12,487605248,0.022794155952312857,0.24499024838830033,0.025301838293671608,0.022802430819149278,0.3106308641533057,0.017953053803784657
Qwen/Qwen2.5-32B-Instruct,32B,all,44,12,487605248,0.022976529827581728,0.24556971046452722,0.027643973007798195,0.022985267022809973,0.314863929990679,0.018072562314518613
Qwen/Qwen2.5-32B-Instruct,32B,all,45,12,487605248,0.02305749777191572,0.24153394671157002,0.027219539508223534,0.02306699988124809,0.3169193786258499,0.01816235109335198
Qwen/Qwen2.5-32B-Instruct,32B,all,46,12,487605248,0.02317882667826348,0.2515015914104879,0.027905266731977463,0.023188673398247477,0.32964728586375713,0.01829528474217932
Qwen/Qwen2.5-32B-Instruct,32B,all,47,12,487605248,0.02327241873711834,0.23478934184337655,0.02771111950278282,0.023282743701020635,0.3168385373428464,0.018392131951818103
Qwen/Qwen2.5-32B-Instruct,32B,all,48,12,487605248,0.023374315379075375,0.18962547508999705,0.028055045753717422,0.02338511439201804,0.2752945004031062,0.018487935166247874
Qwen/Qwen2.5-32B-Instruct,32B,all,49,12,487605248,0.023440707898267417,0.2138749356381595,0.028537636622786522,0.023452008595838732,0.30351390208428103,0.01852469485023035
Qwen/Qwen2.5-32B-Instruct,32B,all,50,12,487605248,0.023461362359809678,0.18598285565773645,0.028099890798330307,0.02347346283095732,0.282092725392431,0.0185525883510867
