model,model_label,layer_index,component,mean_rms,std_rms,mean_fro_norm,std_fro_norm,mean_tensor_std,std_tensor_std
Qwen/Qwen2.5-1.5B-Instruct,1.5B,14,attention,0.3303614809576954,0.5182387563503659,26.296610232050313,19.191726737458875,0.3299757521599531,0.5181144413473088
Qwen/Qwen2.5-1.5B-Instruct,1.5B,14,mlp,0.026847194880247064,0.000312840679245381,99.59752079053528,1.1605739889865316,0.0268471923967202,0.00031284193615990134
Qwen/Qwen2.5-1.5B-Instruct,1.5B,14,norm,1.1789078414440155,0.21233001351356506,46.20356264486037,8.32160304298386,0.5105991512537003,0.13097344338893893
Qwen/Qwen2.5-1.5B-Instruct,1.5B,15,all,0.8695139025027553,1.620607668347738,57.603975120060255,35.360242186414894,0.76873794492955,1.6235015639226162
Qwen/Qwen2.5-1.5B-Instruct,1.5B,15,attention,1.1611011294381959,2.0220349909198316,42.94843719085798,32.32989976001064,1.1625540708856923,2.0255757271265864
Qwen/Qwen2.5-1.5B-Instruct,1.5B,15,mlp,0.02726295714577037,0.0007176396366409853,101.13991250293141,2.662294103696132,0.027262931689619966,0.0007176138829523571
Qwen/Qwen2.5-1.5B-Instruct,1.5B,15,norm,1.1123350262641907,0.16553634405136108,43.59445179796147,6.487673228986175,0.5025940239429474,0.1259532868862152
Qwen/Qwen2.5-1.5B-Instruct,1.5B,16,all,0.3890938328889509,0.5471519764498578,47.931405804488854,34.28069807283974,0.2679932440320651,0.4048227899208785
Qwen/Qwen2.5-1.5B-Instruct,1.5B,16,attention,0.30762965471616815,0.4840346543343035,25.763382921031283,18.35805686508522,0.30754387831049307,0.48401915908972687
Qwen/Qwen2.5-1.5B-Instruct,1.5B,16,mlp,0.026901825020710566,0.0006373647500801142,99.80018727300667,2.364490935846864,0.026901820674538567,0.0006373613118436041
Qwen/Qwen2.5-1.5B-Instruct,1.5B,16,norm,1.217506468296051,0.26451498270034784,47.71631369381359,10.366827790991547,0.4912031590938568,0.1443684995174408
Qwen/Qwen2.5-1.5B-Instruct,1.5B,17,all,0.38969124139597017,0.5480019869370792,48.19670461406927,35.013047450933044,0.26768564122418564,0.4190840138279677
Qwen/Qwen2.5-1.5B-Instruct,1.5B,17,attention,0.32234471158257555,0.5107642118285477,26.013747769287875,18.871914276493698,0.32170068552451475,0.5097523759896105
