model,model_label,component,layer_index,tensor_count,total_numel,weighted_mean_std,mean_std,median_std,weighted_mean_rms,mean_rms,weighted_mean_abs
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,3,2,3072,0.19183237105607986,0.19183237105607986,0.19322331249713898,0.7861096560955048,0.7861096560955048,0.7629016935825348
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,4,2,3072,0.17508726567029953,0.17508726567029953,0.1922430843114853,0.7676133811473846,0.7676133811473846,0.7482728958129883
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,5,2,3072,0.254092238843441,0.254092238843441,0.2899661958217621,0.9598974287509918,0.9598974287509918,0.9249434173107147
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,6,2,3072,0.19219768047332764,0.19219768047332764,0.209694504737854,0.7259231507778168,0.7259231507778168,0.6992906928062439
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,7,2,3072,0.21888013184070587,0.21888013184070587,0.24860425293445587,0.7271731793880463,0.7271731793880463,0.6917683482170105
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,8,2,3072,0.2322312742471695,0.2322312742471695,0.23813411593437195,0.8302092850208282,0.8302092850208282,0.7971585392951965
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,9,2,3072,0.26319338381290436,0.26319338381290436,0.2750663161277771,0.848190188407898,0.848190188407898,0.806363046169281
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,10,2,3072,0.31726863980293274,0.31726863980293274,0.36127355694770813,0.9183988273143768,0.9183988273143768,0.8617614507675171
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,11,2,3072,0.3349865972995758,0.3349865972995758,0.3705708086490631,0.925007551908493,0.925007551908493,0.8622150123119354
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,12,2,3072,0.3546076714992523,0.3546076714992523,0.39769765734672546,0.9959093034267426,0.9959093034267426,0.9307492971420288
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,13,2,3072,0.3651145249605179,0.3651145249605179,0.40811043977737427,0.9416781663894653,0.9416781663894653,0.8679252862930298
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,14,2,3072,0.5105991512537003,0.5105991512537003,0.6415725946426392,1.1789078414440155,1.1789078414440155,1.0624843537807465
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,15,2,3072,0.5025940239429474,0.5025940239429474,0.6285473108291626,1.1123350262641907,1.1123350262641907,0.9907587766647339
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,16,2,3072,0.4912031590938568,0.4912031590938568,0.6355716586112976,1.217506468296051,1.217506468296051,1.1133508086204529
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,17,2,3072,0.4391021430492401,0.4391021430492401,0.5736428499221802,1.1688816547393799,1.1688816547393799,1.082600474357605
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,18,2,3072,0.3762034773826599,0.3762034773826599,0.48182472586631775,1.0370134115219116,1.0370134115219116,0.9647941291332245
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,19,2,3072,0.36286232620477676,0.36286232620477676,0.4911192059516907,1.100922018289566,1.100922018289566,1.0374058485031128
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,20,2,3072,0.2688033953309059,0.2688033953309059,0.30887371301651,1.0710231363773346,1.0710231363773346,1.0368426740169525
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,21,2,3072,0.2655464634299278,0.2655464634299278,0.29169872403144836,1.1063857674598694,1.1063857674598694,1.0740888714790344
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,22,2,3072,0.2133614718914032,0.2133614718914032,0.22091816365718842,1.0447465181350708,1.0447465181350708,1.0231717228889465
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,23,2,3072,0.2759847268462181,0.2759847268462181,0.3353751599788666,1.1195826530456543,1.1195826530456543,1.0832061171531677
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,24,2,3072,0.29455041140317917,0.29455041140317917,0.3747269809246063,1.1613588333129883,1.1613588333129883,1.1196521520614624
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,25,2,3072,0.44814368337392807,0.44814368337392807,0.7443418502807617,1.260827124118805,1.260827124118805,1.1371701955795288
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,26,2,3072,0.5650189965963364,0.5650189965963364,0.9689952731132507,1.3481008410453796,1.3481008410453796,1.1474807262420654
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm,27,2,3072,0.6816649287939072,0.6816649287939072,1.1095763444900513,1.6165324449539185,1.6165324449539185,1.3770685195922852
Qwen/Qwen2.5-3B-Instruct,3B,all,,2,311166976,0.024323320939306316,0.20636307913810015,0.3884052336215973,0.024342100895992796,1.6187566686421633,0.019182508674405713
Qwen/Qwen2.5-3B-Instruct,3B,all,0,12,77076992,0.025827126953277185,1.444721517463525,0.05099545791745186,0.025839660246847695,1.4818522788894672,0.020114756998611413
Qwen/Qwen2.5-3B-Instruct,3B,all,1,12,77076992,0.01224166624001409,0.5602507051856568,0.04230697825551033,0.01225249905829696,0.5944988115224987,0.005613234650416088
