run_dir,model,perturb_seed_mode,perturb_scale_mode,skip_base_test_eval,skip_ensemble_eval,sigma,seed,train_reward,base_train_accuracy,above_base_train,above_base_train_plus_0.05,results_path
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,275121929,0.11699999999999999,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.00025,1405681614,0.11200000000000002,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,1634535051,0.10880000000000002,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,1843824972,0.1088,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,1540770709,0.1088,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,952224741,0.1074,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.00025,1803345581,0.10279999999999999,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,202244312,0.0956,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,1990212653,0.0704,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,864178265,0.06939999999999999,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.004,1766867108,0.068,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,967196431,0.05620000000000001,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.004,191664961,0.0446,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.004,1662057936,0.0436,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.004,1130604987,0.0416,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_223033,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.004,1171300112,0.040999999999999995,0.1252,False,False,codex/experiments/countdown_20260313_223033/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.002,1190961758,0.23230000000000006,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.002,1906728915,0.20920000000000008,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.001,929893122,0.17770000000000008,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.0005,1540770702,0.16460000000000008,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.003,1766867100,0.16280000000000006,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.001,967354520,0.16200000000000003,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.002,1405681608,0.14660000000000004,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.002,191664960,0.14640000000000003,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.003,1990212644,0.14600000000000002,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.003,1843824963,0.14270000000000002,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.003,1777324406,0.1366,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.0005,864178261,0.13030000000000003,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.001,487991437,0.12900000000000003,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.0005,432652527,0.12750000000000003,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.003,1803345573,0.1244,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.001,796282686,0.11860000000000001,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.0005,1662057929,0.11830000000000002,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.002,392022356,0.11830000000000002,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.003,1580016164,0.11790000000000003,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.001,184566851,0.11290000000000003,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.0005,197860368,0.11270000000000004,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.003,1678403319,0.11000000000000001,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.001,1356488968,0.08600000000000002,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.0005,942484256,0.0859,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.003,1130604982,0.08520000000000003,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.003,1074497546,0.08370000000000001,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.003,2095133019,0.0784,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
