run_dir,model,perturb_seed_mode,perturb_scale_mode,skip_base_test_eval,skip_ensemble_eval,sigma,mean_reward,count,results_path
countdown_20260313_235551,Qwen/Qwen2.5-0.5B-Instruct,global_stream,absolute,False,False,0.001,0.023033333333333333,6,codex/experiments/countdown_20260313_235551/results.json
countdown_20260313_235551,Qwen/Qwen2.5-0.5B-Instruct,global_stream,absolute,False,False,0.002,0.011885714285714286,7,codex/experiments/countdown_20260313_235551/results.json
countdown_20260313_235551,Qwen/Qwen2.5-0.5B-Instruct,global_stream,absolute,False,False,0.003,0.0051666666666666675,12,codex/experiments/countdown_20260313_235551/results.json
countdown_20260313_235551,Qwen/Qwen2.5-0.5B-Instruct,global_stream,absolute,False,False,0.005,0.0004,8,codex/experiments/countdown_20260313_235551/results.json
countdown_20260313_235647,Qwen/Qwen2.5-7B-Instruct,per_parameter,absolute,False,False,0.0005,0.4049000000000001,7,codex/experiments/countdown_20260313_235647/results.json
countdown_20260313_235647,Qwen/Qwen2.5-7B-Instruct,per_parameter,absolute,False,False,0.001,0.3724166666666667,6,codex/experiments/countdown_20260313_235647/results.json
countdown_20260313_235647,Qwen/Qwen2.5-7B-Instruct,per_parameter,absolute,False,False,0.002,0.2841857142857143,7,codex/experiments/countdown_20260313_235647/results.json
countdown_20260313_235647,Qwen/Qwen2.5-7B-Instruct,per_parameter,absolute,False,False,0.003,0.18070833333333336,12,codex/experiments/countdown_20260313_235647/results.json
countdown_20260313_235647,Qwen/Qwen2.5-7B-Instruct,per_parameter,absolute,False,False,0.005,0.024949999999999996,8,codex/experiments/countdown_20260313_235647/results.json
countdown_20260313_235746,Qwen/Qwen2.5-7B-Instruct,global_stream,absolute,False,False,0.0005,0.42065714285714295,7,codex/experiments/countdown_20260313_235746/results.json
countdown_20260313_235746,Qwen/Qwen2.5-7B-Instruct,global_stream,absolute,False,False,0.001,0.36053333333333343,6,codex/experiments/countdown_20260313_235746/results.json
countdown_20260313_235746,Qwen/Qwen2.5-7B-Instruct,global_stream,absolute,False,False,0.002,0.20302857142857147,7,codex/experiments/countdown_20260313_235746/results.json
countdown_20260313_235746,Qwen/Qwen2.5-7B-Instruct,global_stream,absolute,False,False,0.003,0.16255,12,codex/experiments/countdown_20260313_235746/results.json
countdown_20260313_235746,Qwen/Qwen2.5-7B-Instruct,global_stream,absolute,False,False,0.005,0.023825,8,codex/experiments/countdown_20260313_235746/results.json
countdown_20260314_000312,Qwen/Qwen2.5-1.5B-Instruct,per_parameter,absolute,False,False,0.0005,0.08114285714285716,7,codex/experiments/countdown_20260314_000312/results.json
